"episode","character","startmin","stopmin"
1,"Sarah",0,8.1167
1,"Beth",1.05,2.8833
1,"Sarah",9.8,12.5
1,"Sarah",12.5,12.8667
1,"Sarah",13.4333,17.4667
1,"Sarah",18.1333,20
1,"Sarah",20.55,20.9167
1,"Sarah",21.6667,23.15
1,"Sarah",24.7667,26.2167
1,"Sarah",26.2167,29.1167
1,"Sarah",29.1167,31.7
1,"Sarah",33.25,36.7333
1,"Sarah",36.7333,37.9167
1,"Sarah",38.6167,40.2667
1,"Katja",40.2667,42.9333
1,"Sarah",40.2667,41.7
1,"Sarah",41.7,42.9333
2,"Sarah",0,1.583333333
2,"Alison",0.15,1.4
2,"Sarah",1.583333333,2.016666667
2,"Sarah",2.566666667,3.25
2,"Sarah",4.033333333,5.25
2,"Sarah",6.55,6.65
2,"Sarah",6.966666667,10.85
2,"Sarah",10.85,13.45
2,"Sarah",16.16666667,19.98333333
2,"Sarah",19.98333333,21.38333333
2,"Sarah",21.38333333,21.93333333
2,"Cosima",21.38333333,21.93333333
2,"Sarah",21.93333333,22.71666667
2,"Sarah",22.71666667,26.61666667
2,"Sarah",26.61666667,34.71666667
2,"Alison",28.35,29.21666667
2,"Alison",30.83333333,31.88333333
2,"Alison",32.73333333,34.71666667
2,"Sarah",34.71666667,38.16666667
2,"Sarah",38.16666667,38.48333333
2,"Alison",38.16666667,38.48333333
2,"Sarah",38.48333333,39.35
2,"Sarah",39.35,41.88333333
2,"Alison",41.25,41.88333333
2,"Cosima",41.65,41.88333333
3,"Sarah",0,1.6
3,"Alison",0,1.6
3,"Cosima",0,1.6
3,"Sarah",2.3667,3.9
3,"Alison",2.3667,3.25
3,"Cosima",2.3667,2.65
3,"Cosima",3.35,3.9
3,"Sarah",3.9,5.1833
3,"Sarah",5.1833,9.4667
3,"Sarah",9.4667,10.6833
3,"Cosima",9.4667,10.6833
3,"Sarah",10.6833,11.9333
3,"Sarah",11.9333,14.9
3,"Cosima",11.9333,14.9
3,"Sarah",14.9,18.75
3,"Sarah",19.1833,20.75
3,"Sarah",21.0333,21.6667
3,"Cosima",21.0333,21.6667
3,"Sarah",22.35,23.05
3,"Alison",22.35,23.4333
3,"Sarah",23.85,24.3333
3,"Alison",23.85,27.5667
3,"Sarah",24.3333,27.0833
3,"Sarah",27.5667,27.95
3,"Sarah",27.95,29.7667
3,"Sarah",29.7667,30.3667
3,"Sarah",30.3833,39.2167
3,"Helena",35.5167,36.8833
3,"Sarah",39.2167,41.2167
3,"Helena",41.2167,41.9
4,"Helena",0,1.666666667
4,"Sarah",1.666666667,5
4,"Alison",1.816666667,3.166666667
4,"Cosima",3.25,5
4,"Alison",5,5.65
4,"Sarah",5.65,8.9
4,"Sarah",8.9,9.483333333
4,"Sarah",9.783333333,13.06666667
4,"Helena",13.01666667,14.05
4,"Sarah",14.05,15.73333333
4,"Helena",15.73333333,17.05
4,"Sarah",17.05,17.38333333
4,"Sarah",17.38333333,18.05
4,"Alison",18.05,18.76666667
4,"Sarah",18.76666667,20.2
4,"Alison",20.2,21.5
4,"Sarah",21.5,22.26666667
4,"Alison",22.26666667,22.9
4,"Sarah",22.9,24.98333333
4,"Sarah",24.98333333,26.38333333
4,"Cosima",24.98333333,26.38333333
4,"Sarah",26.38333333,28.63333333
4,"Helena",27.56666667,28.1
4,"Alison",28.63333333,29.23333333
4,"Alison",29.23333333,29.68333333
4,"Sarah",29.68333333,29.88333333
4,"Sarah",31.55,31.78333333
4,"Alison",31.78333333,33.46666667
4,"Sarah",33.46666667,34.43333333
4,"Alison",33.78333333,33.93333333
4,"Sarah",34.63333333,37.98333333
4,"Helena",34.63333333,37.88333333
4,"Sarah",37.98333333,38.3
4,"Alison",38.3,39.85
4,"Alison",39.85,40.15
4,"Sarah",40.16666667,41.31666667
4,"Helena",41.31666667,41.91666667
5,"Helena",0,0.7
5,"Sarah",0.7,1.266666667
5,"Alison",0.8,1.566666667
5,"Sarah",1.566666667,4.833333333
5,"Sarah",4.833333333,6.1
5,"Sarah",6.1,8.533333333
5,"Cosima",6.1,8.433333333
5,"Alison",6.3,8.066666667
5,"Sarah",8.533333333,8.966666667
5,"Sarah",8.966666667,9.15
5,"Alison",9.35,10.1
5,"Sarah",10.1,12.35
5,"Sarah",12.35,13.25
5,"Alison",13.25,14.16666667
5,"Sarah",14.16666667,14.56666667
5,"Alison",14.56666667,15.01666667
5,"Sarah",14.88333333,16.35
5,"Alison",17,17.76666667
5,"Cosima",17.83333333,19.85
5,"Sarah",19.85,20.53333333
5,"Sarah",20.76666667,22.53333333
5,"Cosima",22.53333333,23.61666667
5,"Sarah",23.61666667,25.1
5,"Alison",26.2,27.08333333
5,"Alison",27.41666667,28.65
5,"Sarah",28.65,29.98333333
5,"Sarah",29.98333333,31.93333333
5,"Sarah",31.93333333,32.11666667
5,"Sarah",32.11666667,35.41666667
5,"Alison",35.41666667,35.85
5,"Sarah",36.18333333,37.33333333
5,"Cosima",36.35,37.33333333
5,"Alison",37.33333333,37.81666667
5,"Sarah",37.81666667,40.11666667
5,"Sarah",40.11666667,42.18333333
6,"Alison",0,2.566666667
6,"Sarah",2.566666667,4.05
6,"Sarah",4.35,5.383333333
6,"Cosima",4.433333333,5.216666667
6,"Alison",5.266666667,5.95
6,"Alison",6.416666667,7.916666667
6,"Cosima",7.916666667,8.933333333
6,"Alison",9.416666667,12.55
6,"Sarah",9.966666667,10.58333333
6,"Sarah",11.7,13.13333333
6,"Alison",13.13333333,13.78333333
6,"Sarah",13.86666667,14.7
6,"Sarah",15.58333333,16.41666667
6,"Cosima",16.41666667,18.4
6,"Sarah",19.23333333,19.53333333
6,"Alison",19.53333333,20.36666667
6,"Sarah",20.61666667,22.15
6,"Alison",20.61666667,22.15
6,"Cosima",22.35,24.3
6,"Sarah",24.3,25.43333333
6,"Cosima",25.43333333,26.6
6,"Sarah",26.6,27.5
6,"Alison",26.66666667,26.76666667
6,"Sarah",27.83333333,28.4
6,"Alison",27.83333333,28.35
6,"Alison",28.96666667,29.46666667
6,"Sarah",30.25,32.13333333
6,"Sarah",32.13333333,32.91666667
6,"Sarah",33.31666667,34.16666667
6,"Sarah",35.13333333,36.15
6,"Sarah",36.15,36.21666667
6,"Sarah",36.21666667,36.36666667
6,"Alison",36.36666667,37.03333333
6,"Sarah",37.03333333,37.33333333
6,"Sarah",37.33333333,38.31666667
6,"Alison",38.31666667,40.06666667
6,"Sarah",40.06666667,41.21666667
7,"Sarah",0,0.533333333
7,"Cosima",0,0.533333333
7,"Sarah",1.166666667,1.95
7,"Cosima",1.166666667,1.95
7,"Helena",1.95,2.55
7,"Sarah",2.55,3.116666667
7,"Sarah",4.483333333,4.983333333
7,"Helena",7.55,8.583333333
7,"Sarah",9.233333333,9.533333333
7,"Helena",9.533333333,11.21666667
7,"Sarah",11.21666667,15.95
7,"Helena",12.9,15.86666667
7,"Sarah",16.9,18.45
7,"Cosima",16.9,19.08333333
7,"Helena",20.5,20.88333333
7,"Sarah",20.88333333,21.73333333
7,"Helena",21.73333333,22.2
7,"Sarah",22.2,24.01666667
7,"Cosima",24.01666667,24.83333333
7,"Cosima",25.43333333,26.51666667
7,"Cosima",27.83333333,28.4
7,"Sarah",28.4,29.06666667
7,"Sarah",29.26666667,30.45
7,"Helena",30.45,31.16666667
7,"Sarah",30.83333333,32.58333333
7,"Sarah",32.93333333,33.36666667
7,"Sarah",33.61666667,35.31666667
7,"Sarah",35.6,35.73333333
7,"Helena",36.06666667,36.68333333
7,"Sarah",36.06666667,36.68333333
7,"Helena",37.03333333,38.1
7,"Sarah",38.08333333,38.21666667
7,"Sarah",38.83333333,38.9
7,"Helena",39.1,39.46666667
7,"Sarah",39.46666667,40.33333333
7,"Cosima",40.33333333,41.4
8,"Sarah",0.916666667,2.583333333
8,"Alison",2.083333333,2.983333333
8,"Sarah",4.683333333,6.033333333
8,"Cosima",4.683333333,5.466666667
8,"Alison",6.033333333,7.266666667
8,"Helena",9.033333333,10.08333333
8,"Sarah",10.08333333,11.58333333
8,"Sarah",12.38333333,13.53333333
8,"Alison",13.53333333,14.5
8,"Sarah",14.5,15.35
8,"Alison",15.6,16.55
8,"Alison",17.85,19.45
8,"Cosima",19.45,21.68333333
8,"Alison",21.68333333,23.46666667
8,"Sarah",24.33333333,26.48333333
8,"Alison",24.8,26.48333333
8,"Helena",26.48333333,26.91666667
8,"Cosima",27.66666667,28.73333333
8,"Sarah",32.16666667,34.61666667
8,"Alison",32.58333333,34.61666667
8,"Sarah",37.6,40.35
8,"Helena",39.08333333,39.58333333
8,"Helena",40.21666667,41.91666667
8,"Sarah",40.53333333,41.91666667
9,"Sarah",0,0.416666667
9,"Sarah",0.616666667,1.783333333
9,"Alison",0.9,1.783333333
9,"Sarah",2.15,2.883333333
9,"Sarah",2.883333333,3.55
9,"Helena",3.55,4.016666667
9,"Sarah",4.016666667,4.483333333
9,"Helena",5.783333333,6.866666667
9,"Sarah",6.566666667,6.9
9,"Alison",7.916666667,9.866666667
9,"Cosima",9.866666667,10.93333333
9,"Sarah",9.866666667,11.45
9,"Helena",11.45,12.26666667
9,"Sarah",12.26666667,12.81666667
9,"Cosima",12.81666667,13.9
9,"Sarah",13.9,14.71666667
9,"Sarah",14.71666667,14.95
9,"Alison",14.95,17.26666667
9,"Sarah",17.26666667,18.53333333
9,"Helena",18.53333333,19
9,"Sarah",19,23.2
9,"Cosima",19,20.43333333
9,"Cosima",23.2,24.66666667
9,"Alison",24.66666667,26.46666667
9,"Helena",26.88333333,27.23333333
9,"Sarah",27.23333333,28.01666667
9,"Cosima",28.01666667,29.18333333
9,"Helena",30.03333333,30.56666667
9,"Sarah",30.21666667,32
9,"Alison",32,33.7
9,"Sarah",33.7,38.41666667
9,"Helena",34.16666667,37.98333333
9,"Rachel",39.18333333,39.36666667
9,"Sarah",39.76666667,41.95
10,"Sarah",0,1.95
10,"Helena",1.166666667,1.95
10,"Sarah",2.533333333,4.2
10,"Helena",2.533333333,3.833333333
10,"Sarah",4.2,5.25
10,"Alison",5.25,7.683333333
10,"Cosima",8.3,8.983333333
10,"Sarah",8.983333333,10.73333333
10,"Cosima",10.73333333,11.58333333
10,"Sarah",11.58333333,17.4
10,"Rachel",12.56666667,14.96666667
10,"Alison",14.96666667,17.4
10,"Cosima",15.36666667,17.4
10,"Alison",18.61666667,21.91666667
10,"Alison",22.76666667,23.65
10,"Sarah",23.65,25.3
10,"Cosima",25.3,27.61666667
10,"Helena",27.61666667,29.08333333
10,"Sarah",29.08333333,29.66666667
10,"Alison",29.66666667,30.48333333
10,"Cosima",30.48333333,31.41666667
10,"Sarah",31.41666667,32.23333333
10,"Cosima",32.23333333,32.8
10,"Sarah",32.8,36.16666667
10,"Helena",33.58333333,35.91666667
10,"Cosima",36.16666667,36.5
10,"Rachel",36.5,36.85
10,"Sarah",36.6,37.01666667
10,"Alison",37.01666667,37.43333333
10,"Rachel",37.43333333,37.66666667
10,"Alison",37.66666667,38.41666667
10,"Sarah",38.41666667,39.21666667
10,"Cosima",39.21666667,39.93333333
10,"Sarah",39.4,40.01666667
10,"Rachel",40.65,41.25
10,"Cosima",41.25,41.73333333
10,"Sarah",41.73333333,42.41666667
11,"Sarah",0,5.35
11,"Rachel",2.116666667,2.566666667
11,"Sarah",5.35,6.983333333
11,"Sarah",7.133333333,7.416666667
11,"Cosima",7.416666667,8.616666667
11,"Alison",8.616666667,11.11666667
11,"Rachel",11.11666667,11.46666667
11,"Sarah",11.96666667,12.53333333
11,"Sarah",13.06666667,14.2
11,"Cosima",13.61666667,14.2
11,"Alison",14.2,15.66666667
11,"Cosima",15.66666667,16
11,"Alison",17.43333333,19.75
11,"Sarah",20.31666667,21.53333333
11,"Alison",20.66666667,20.9
11,"Rachel",21.63333333,23.36666667
11,"Sarah",23.36666667,23.7
11,"Sarah",24.36666667,28.3
11,"Cosima",25.7,28.3
11,"Alison",26.61666667,27.68333333
11,"Rachel",28.3,28.88333333
11,"Sarah",28.45,28.91666667
11,"Alison",28.88333333,29.95
11,"Sarah",30.15,32.28333333
11,"Sarah",32.28333333,33.06666667
11,"Sarah",33.3,33.61666667
11,"Rachel",33.61666667,36.56666667
11,"Sarah",34.9,35.15
11,"Sarah",35.15,39.25
11,"Helena",39.25,40.16666667
12,"Helena",0,0.583333333
12,"Sarah",0.583333333,1.733333333
12,"Sarah",1.733333333,2.416666667
12,"Alison",2.416666667,4.9
12,"Cosima",6.166666667,6.983333333
12,"Sarah",6.983333333,11.1
12,"Cosima",11.1,12.6
12,"Alison",12.6,16.18333333
12,"Sarah",16.18333333,17.91666667
12,"Helena",19.41666667,19.61666667
12,"Helena",20.66666667,22.81666667
12,"Sarah",22.81666667,23.36666667
12,"Alison",23.36666667,26.46666667
12,"Sarah",26.46666667,29.11666667
12,"Cosima",29.11666667,32.28333333
12,"Rachel",30,32.28333333
12,"Sarah",32.28333333,35.66666667
12,"Sarah",36.05,36.76666667
12,"Alison",38.56666667,39.71666667
12,"Sarah",39.03333333,39.98333333
13,"Sarah",0,1.516666667
13,"Sarah",3.55,3.916666667
13,"Sarah",4.683333333,5.183333333
13,"Sarah",6,6.833333333
13,"Alison",6.833333333,7.833333333
13,"Sarah",7.833333333,8.333333333
13,"Cosima",8.333333333,9.75
13,"Sarah",9.75,10.43333333
13,"Helena",10.76666667,12.23333333
13,"Sarah",12.23333333,14.63333333
13,"Alison",14.63333333,16.7
13,"Sarah",16.7,17.75
13,"Cosima",19.03333333,20.66666667
13,"Sarah",20.66666667,22.56666667
13,"Cosima",22.56666667,25.33333333
13,"Alison",24.43333333,25.4
13,"Alison",25.76666667,26.73333333
13,"Sarah",26.73333333,30.38333333
13,"Alison",30.38333333,32.8
13,"Sarah",32.8,33.41666667
13,"Sarah",36.6,38.81666667
13,"Helena",38.81666667,40.96666667
13,"Sarah",40.96666667,41.5
14,"Sarah",0,1.833333333
14,"Sarah",1.833333333,2.866666667
14,"Helena",3.366666667,4.483333333
14,"Alison",4.483333333,6.633333333
14,"Sarah",6.633333333,8.183333333
14,"Sarah",9.283333333,10.5
14,"Helena",10.86666667,14.58333333
14,"Cosima",15.5,16.18333333
14,"Sarah",15.86666667,16.18333333
14,"Cosima",16.65,18.15
14,"Sarah",16.65,18.06666667
14,"Sarah",18.33333333,18.85
14,"Alison",19.75,21.48333333
14,"Sarah",21.48333333,22.81666667
14,"Sarah",24.88333333,25.9
14,"Alison",25.9,27.7
14,"Sarah",27.7,28.91666667
14,"Sarah",30.13333333,30.93333333
14,"Sarah",31.2,31.55
14,"Sarah",31.55,35.4
14,"Cosima",32.11666667,34.03333333
14,"Sarah",35.95,40.3
14,"Helena",38.46666667,40.3
15,"Rachel",0,1.966666667
15,"Helena",1.966666667,3.6
15,"Sarah",1.966666667,3.6
15,"Rachel",4.283333333,5.3
15,"Cosima",5.3,6.883333333
15,"Sarah",6.883333333,8.15
15,"Helena",8.15,9.433333333
15,"Rachel",10.3,12.48333333
15,"Helena",12.48333333,13.95
15,"Helena",15.45,16.66666667
15,"Sarah",18.48333333,18.63333333
15,"Sarah",20.11666667,21.6
15,"Helena",21.2,21.88333333
15,"Cosima",22.65,25.05
15,"Sarah",26.85,30.53333333
15,"Rachel",30.53333333,30.88333333
15,"Helena",30.88333333,31.56666667
15,"Rachel",31.56666667,31.75
15,"Helena",31.75,31.88333333
15,"Rachel",31.88333333,32.18333333
15,"Sarah",32.18333333,32.31666667
15,"Helena",32.31666667,32.6
15,"Rachel",32.36666667,33.25
15,"Helena",33.25,33.45
15,"Sarah",33.45,33.78333333
15,"Rachel",33.78333333,35.06666667
15,"Helena",34.01666667,37.78333333
15,"Sarah",34.78333333,37.78333333
15,"Rachel",35.71666667,35.91666667
15,"Cosima",37.78333333,39.06666667
15,"Sarah",39.16666667,40.35
15,"Sarah",40.81666667,41.18333333
15,"Helena",40.81666667,41.18333333
16,"Sarah",0,2.55
16,"Helena",0.116666667,2.55
16,"Sarah",3.083333333,4.483333333
16,"Helena",3.083333333,4.483333333
16,"Cosima",4.483333333,6.55
16,"Alison",6.55,8
16,"Alison",9.116666667,9.983333333
16,"Helena",9.983333333,10.71666667
16,"Sarah",9.983333333,12.01666667
16,"Helena",12.01666667,12.38333333
16,"Cosima",12.38333333,12.95
16,"Helena",12.95,14.65
16,"Sarah",14.76666667,15.35
16,"Alison",15.35,16.26666667
16,"Sarah",16.26666667,16.73333333
16,"Alison",17.53333333,19.03333333
16,"Helena",19.03333333,20.1
16,"Sarah",20.58333333,22.05
16,"Cosima",20.58333333,22.05
16,"Helena",22.05,25.03333333
16,"Sarah",25.03333333,25.48333333
16,"Helena",25.48333333,28.53333333
16,"Sarah",25.75,26.03333333
16,"Sarah",28.53333333,29.33333333
16,"Alison",30.25,31.08333333
16,"Sarah",30.95,36.2
16,"Sarah",36.48333333,36.85
16,"Sarah",38.65,40.96666667
17,"Alison",0,1.966666667
17,"Sarah",1.966666667,3.033333333
17,"Alison",3.033333333,3.683333333
17,"Sarah",4.55,6.15
17,"Cosima",6.15,7.6
17,"Alison",7.833333333,8.366666667
17,"Sarah",8.366666667,9.483333333
17,"Sarah",11.48333333,11.95
17,"Cosima",11.95,13.3
17,"Alison",13.3,14.56666667
17,"Sarah",16.33333333,18.23333333
17,"Alison",17.8,18.15
17,"Alison",18.36666667,18.53333333
17,"Sarah",18.55,20.41666667
17,"Alison",20.41666667,21
17,"Sarah",21,22.28333333
17,"Sarah",23.61666667,24.48333333
17,"Sarah",24.48333333,25.08333333
17,"Alison",25.03333333,25.46666667
17,"Sarah",25.93333333,27.13333333
17,"Alison",26.96666667,27.56666667
17,"Sarah",27.56666667,29.03333333
17,"Alison",27.98333333,28.4
17,"Alison",29.03333333,29.3
17,"Sarah",29.96666667,30.8
17,"Alison",30,30.8
17,"Rachel",31.26666667,33.01666667
17,"Alison",33.01666667,33.8
17,"Sarah",33.01666667,33.63333333
17,"Rachel",34.01666667,36.55
17,"Sarah",36.9,38.95
17,"Cosima",37.13333333,37.45
18,"Tony",0,1.516666667
18,"Sarah",1.666666667,2.633333333
18,"Cosima",2.8,4
18,"Alison",4,5.5
18,"Tony",5.666666667,6.233333333
18,"Sarah",6.233333333,7.2
18,"Rachel",7.35,8.65
18,"Tony",8.85,9.85
18,"Tony",10.53333333,11.58333333
18,"Sarah",11.58333333,13.38333333
18,"Cosima",13.38333333,16.71666667
18,"Tony",16.71666667,18.28333333
18,"Alison",18.28333333,19.66666667
18,"Sarah",19.66666667,20.05
18,"Tony",20.05,20.66666667
18,"Tony",21.26666667,23.28333333
18,"Sarah",23.51666667,24.51666667
18,"Tony",24.25,26.05
18,"Cosima",26.05,27.83333333
18,"Alison",27.83333333,29.18333333
18,"Tony",29.18333333,31.81666667
18,"Sarah",29.86666667,31.81666667
18,"Rachel",31.81666667,33.3
18,"Alison",33.3,34.06666667
18,"Sarah",34.06666667,34.66666667
18,"Tony",34.66666667,35.25
18,"Rachel",35.25,36.93333333
18,"Tony",36.93333333,38
18,"Cosima",38,40.13333333
18,"Sarah",40.13333333,41.15
19,"Alison",0,1.35
19,"Helena",1.35,2.416666667
19,"Rachel",2.416666667,3.916666667
19,"Sarah",3.916666667,5.966666667
19,"Cosima",4.833333333,5.966666667
19,"Alison",4.833333333,7.4
19,"Helena",7.4,8.466666667
19,"Sarah",9.65,12.48333333
19,"Cosima",12.83333333,13.65
19,"Alison",13.65,15.46666667
19,"Helena",15.78333333,17.11666667
19,"Sarah",17.11666667,19.33333333
19,"Alison",19.33333333,19.95
19,"Alison",20.28333333,21.23333333
19,"Helena",22.91666667,23.96666667
19,"Cosima",23.96666667,25.08333333
19,"Helena",25.08333333,26.05
19,"Rachel",26.05,30.16666667
19,"Sarah",30.16666667,30.6
19,"Helena",30.6,32.38333333
19,"Helena",33.5,33.93333333
19,"Alison",33.93333333,35.28333333
19,"Helena",35.28333333,36.66666667
19,"Sarah",36.66666667,37.66666667
19,"Rachel",37.66666667,38.55
19,"Sarah",38.55,39.15
19,"Cosima",39.15,39.6
19,"Rachel",39.6,40.6
20,"Sarah",0,2.05
20,"Sarah",2.05,3.316666667
20,"Cosima",4.083333333,4.383333333
20,"Rachel",4.383333333,5.166666667
20,"Cosima",5.166666667,6.3
20,"Sarah",6.3,8.35
20,"Rachel",7.416666667,8.35
20,"Helena",9.766666667,10.23333333
20,"Sarah",10.38333333,10.83333333
